sample_type,sample_id,delay_days,decision,warning_flag,support_probability,recheck_advice
小号铁钉,5,8,支持曾遭雷击,否,0.988221,recheck_with_site_evidence
小号铁钉,5,9,支持曾遭雷击,否,0.989565,recheck_with_site_evidence
小号铁钉,5,10,支持曾遭雷击,否,0.992331,recheck_with_site_evidence
小号铁钉,5,11,支持曾遭雷击,否,0.995076,recheck_with_site_evidence
小号铁钉,5,12,支持曾遭雷击,否,0.996694,recheck_with_site_evidence
小号铁钉,5,13,支持曾遭雷击,否,0.994517,recheck_with_site_evidence
小号铁钉,5,14,支持曾遭雷击,否,0.994392,recheck_with_site_evidence
小号铁钉,5,15,支持曾遭雷击,否,0.995008,recheck_with_site_evidence
小号铁钉,5,22,支持曾遭雷击,否,0.980896,recheck_with_site_evidence
小号铁钉,5,30,支持曾遭雷击,否,0.986215,recheck_with_site_evidence
小号铁钉,5,37,支持曾遭雷击,否,0.984399,recheck_with_site_evidence
小号铁钉,5,44,灰区/证据不足,是,0.988859,delay_too_long_add_other_evidence
小号铁钉,5,51,灰区/证据不足,是,0.996822,delay_too_long_add_other_evidence
小号铁钉,5,58,灰区/证据不足,是,0.982678,delay_too_long_add_other_evidence
小号铁钉,5,90,灰区/证据不足,是,0.995396,delay_too_long_add_other_evidence
小号铁钉,6,1,支持曾遭雷击,否,0.992591,recheck_with_site_evidence
小号铁钉,6,2,支持曾遭雷击,否,0.989195,recheck_with_site_evidence
小号铁钉,6,3,支持曾遭雷击,否,0.984786,recheck_with_site_evidence
小号铁钉,6,4,支持曾遭雷击,否,0.986469,recheck_with_site_evidence
小号铁钉,6,5,支持曾遭雷击,否,0.988399,recheck_with_site_evidence
小号铁钉,6,6,支持曾遭雷击,否,0.988242,recheck_with_site_evidence
小号铁钉,6,7,支持曾遭雷击,否,0.989055,recheck_with_site_evidence
小号铁钉,6,8,支持曾遭雷击,否,0.988221,recheck_with_site_evidence
小号铁钉,6,9,支持曾遭雷击,否,0.989565,recheck_with_site_evidence
小号铁钉,6,10,支持曾遭雷击,否,0.992331,recheck_with_site_evidence
小号铁钉,6,11,支持曾遭雷击,否,0.995076,recheck_with_site_evidence
小号铁钉,6,12,支持曾遭雷击,否,0.996694,recheck_with_site_evidence
小号铁钉,6,13,支持曾遭雷击,否,0.994517,recheck_with_site_evidence
小号铁钉,6,14,支持曾遭雷击,否,0.994382,recheck_with_site_evidence
小号铁钉,6,15,支持曾遭雷击,否,0.995008,recheck_with_site_evidence
小号铁钉,6,22,支持曾遭雷击,否,0.980843,recheck_with_site_evidence
小号铁钉,6,30,支持曾遭雷击,否,0.986215,recheck_with_site_evidence
小号铁钉,6,37,支持曾遭雷击,否,0.984399,recheck_with_site_evidence
小号铁钉,6,44,灰区/证据不足,是,0.988859,delay_too_long_add_other_evidence
小号铁钉,6,51,灰区/证据不足,是,0.996822,delay_too_long_add_other_evidence
小号铁钉,6,58,灰区/证据不足,是,0.982678,delay_too_long_add_other_evidence
小号铁钉,6,90,灰区/证据不足,是,0.995396,delay_too_long_add_other_evidence
小号铁钉,7,1,灰区/证据不足,否,0.971978,recheck_with_site_evidence
小号铁钉,7,2,灰区/证据不足,否,0.962853,recheck_with_site_evidence
小号铁钉,7,3,灰区/证据不足,否,0.952086,recheck_with_site_evidence
小号铁钉,7,4,灰区/证据不足,否,0.956091,recheck_with_site_evidence
小号铁钉,7,5,灰区/证据不足,否,0.960824,recheck_with_site_evidence
小号铁钉,7,6,灰区/证据不足,否,0.960441,recheck_with_site_evidence
小号铁钉,7,7,灰区/证据不足,否,0.962517,recheck_with_site_evidence
小号铁钉,7,8,灰区/证据不足,否,0.960374,recheck_with_site_evidence
小号铁钉,7,9,灰区/证据不足,否,0.963794,recheck_with_site_evidence
小号铁钉,7,10,灰区/证据不足,否,0.971222,recheck_with_site_evidence
小号铁钉,7,11,支持曾遭雷击,否,0.979371,recheck_with_site_evidence
小号铁钉,7,12,支持曾遭雷击,否,0.984692,recheck_with_site_evidence
小号铁钉,7,13,支持曾遭雷击,否,0.977641,recheck_with_site_evidence
小号铁钉,7,14,支持曾遭雷击,否,0.977209,recheck_with_site_evidence
小号铁钉,7,15,支持曾遭雷击,否,0.979142,recheck_with_site_evidence
小号铁钉,7,22,灰区/证据不足,否,0.943159,recheck_with_site_evidence
小号铁钉,7,30,灰区/证据不足,否,0.955581,recheck_with_site_evidence
小号铁钉,7,37,灰区/证据不足,否,0.951164,recheck_with_site_evidence
小号铁钉,7,44,灰区/证据不足,是,0.962003,delay_too_long_add_other_evidence
小号铁钉,7,51,灰区/证据不足,是,0.985186,delay_too_long_add_other_evidence
小号铁钉,7,58,灰区/证据不足,是,0.945528,delay_too_long_add_other_evidence
小号铁钉,7,90,灰区/证据不足,是,0.962286,delay_too_long_add_other_evidence
小号铁钉,8,1,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,8,2,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,8,3,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,8,4,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,8,5,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,8,6,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,8,7,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,8,8,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,8,9,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,8,10,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,8,11,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,8,12,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,8,13,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,8,14,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,8,15,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,8,22,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,8,30,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,8,37,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,8,44,灰区/证据不足,是,1.0,delay_too_long_add_other_evidence
小号铁钉,8,51,灰区/证据不足,是,1.0,delay_too_long_add_other_evidence
小号铁钉,8,58,灰区/证据不足,是,1.0,delay_too_long_add_other_evidence
小号铁钉,8,90,灰区/证据不足,是,1.0,delay_too_long_add_other_evidence
小号铁钉,9,1,支持曾遭雷击,否,0.999999,recheck_with_site_evidence
小号铁钉,9,2,支持曾遭雷击,否,0.999997,recheck_with_site_evidence
小号铁钉,9,3,支持曾遭雷击,否,0.999993,recheck_with_site_evidence
小号铁钉,9,4,支持曾遭雷击,否,0.999995,recheck_with_site_evidence
小号铁钉,9,5,支持曾遭雷击,否,0.999997,recheck_with_site_evidence
小号铁钉,9,6,支持曾遭雷击,否,0.999997,recheck_with_site_evidence
小号铁钉,9,7,支持曾遭雷击,否,0.999997,recheck_with_site_evidence
小号铁钉,9,8,支持曾遭雷击,否,0.999997,recheck_with_site_evidence
小号铁钉,9,9,支持曾遭雷击,否,0.999997,recheck_with_site_evidence
小号铁钉,9,10,支持曾遭雷击,否,0.999999,recheck_with_site_evidence
小号铁钉,9,11,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,9,12,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,9,13,支持曾遭雷击,否,0.999999,recheck_with_site_evidence
小号铁钉,9,14,支持曾遭雷击,否,0.999999,recheck_with_site_evidence
小号铁钉,9,15,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,9,22,支持曾遭雷击,否,0.999988,recheck_with_site_evidence
小号铁钉,9,30,支持曾遭雷击,否,0.999995,recheck_with_site_evidence
小号铁钉,9,37,支持曾遭雷击,否,0.999993,recheck_with_site_evidence
小号铁钉,9,44,灰区/证据不足,是,0.999997,delay_too_long_add_other_evidence
小号铁钉,9,51,灰区/证据不足,是,1.0,delay_too_long_add_other_evidence
小号铁钉,9,58,灰区/证据不足,是,0.99999,delay_too_long_add_other_evidence
小号铁钉,9,90,灰区/证据不足,是,0.999998,delay_too_long_add_other_evidence
小号铁钉,10,1,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,10,2,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,10,3,支持曾遭雷击,否,0.999999,recheck_with_site_evidence
小号铁钉,10,4,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,10,5,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,10,6,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,10,7,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,10,8,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,10,9,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,10,10,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,10,11,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,10,12,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,10,13,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,10,14,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,10,15,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,10,22,支持曾遭雷击,否,0.999999,recheck_with_site_evidence
小号铁钉,10,30,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,10,37,支持曾遭雷击,否,0.999999,recheck_with_site_evidence
小号铁钉,10,44,灰区/证据不足,是,1.0,delay_too_long_add_other_evidence
小号铁钉,10,51,灰区/证据不足,是,1.0,delay_too_long_add_other_evidence
小号铁钉,10,58,灰区/证据不足,是,0.999999,delay_too_long_add_other_evidence
小号铁钉,10,90,灰区/证据不足,是,1.0,delay_too_long_add_other_evidence
小号铁钉,11,1,灰区/证据不足,否,0.956156,recheck_with_site_evidence
小号铁钉,11,2,灰区/证据不足,否,0.943761,recheck_with_site_evidence
小号铁钉,11,3,灰区/证据不足,否,0.929646,recheck_with_site_evidence
小号铁钉,11,4,灰区/证据不足,否,0.934823,recheck_with_site_evidence
小号铁钉,11,5,灰区/证据不足,否,0.941085,recheck_with_site_evidence
小号铁钉,11,6,灰区/证据不足,否,0.940553,recheck_with_site_evidence
小号铁钉,11,7,灰区/证据不足,否,0.943316,recheck_with_site_evidence
小号铁钉,11,8,灰区/证据不足,否,0.940493,recheck_with_site_evidence
小号铁钉,11,9,灰区/证据不足,否,0.945034,recheck_with_site_evidence
小号铁钉,11,10,灰区/证据不足,否,0.955132,recheck_with_site_evidence
小号铁钉,11,11,灰区/证据不足,否,0.966538,recheck_with_site_evidence
小号铁钉,11,12,灰区/证据不足,否,0.97431,recheck_with_site_evidence
小号铁钉,11,13,灰区/证据不足,否,0.96405,recheck_with_site_evidence
小号铁钉,11,14,灰区/证据不足,否,0.963474,recheck_with_site_evidence
小号铁钉,11,15,灰区/证据不足,否,0.966227,recheck_with_site_evidence
小号铁钉,11,22,灰区/证据不足,否,0.918324,recheck_with_site_evidence
小号铁钉,11,30,灰区/证据不足,否,0.934185,recheck_with_site_evidence
小号铁钉,11,37,灰区/证据不足,否,0.928269,recheck_with_site_evidence
小号铁钉,11,44,灰区/证据不足,是,0.942684,delay_too_long_add_other_evidence
小号铁钉,11,51,灰区/证据不足,是,0.974628,delay_too_long_add_other_evidence
小号铁钉,11,58,灰区/证据不足,是,0.920814,delay_too_long_add_other_evidence
小号铁钉,11,90,灰区/证据不足,是,0.962286,delay_too_long_add_other_evidence
小号铁钉,12,1,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,12,2,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,12,3,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,12,4,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,12,5,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,12,6,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,12,7,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,12,8,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,12,9,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,12,10,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,12,11,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,12,12,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,12,13,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,12,14,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,12,15,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,12,22,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,12,30,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,12,37,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,12,44,灰区/证据不足,是,1.0,delay_too_long_add_other_evidence
小号铁钉,12,51,灰区/证据不足,是,1.0,delay_too_long_add_other_evidence
小号铁钉,12,58,灰区/证据不足,是,1.0,delay_too_long_add_other_evidence
小号铁钉,12,90,灰区/证据不足,是,1.0,delay_too_long_add_other_evidence
小号铁钉,13,1,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,13,2,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,13,3,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,13,4,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,13,5,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,13,6,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,13,7,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,13,8,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,13,9,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,13,10,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,13,11,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,13,12,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,13,13,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,13,14,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,13,15,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,13,22,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,13,30,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,13,37,支持曾遭雷击,否,1.0,recheck_with_site_evidence
小号铁钉,13,44,灰区/证据不足,是,1.0,delay_too_long_add_other_evidence
小号铁钉,13,51,灰区/证据不足,是,1.0,delay_too_long_add_other_evidence
小号铁钉,13,58,灰区/证据不足,是,1.0,delay_too_long_add_other_evidence
小号铁钉,13,90,灰区/证据不足,是,1.0,delay_too_long_add_other_evidence
小号铁钉,14,1,支持曾遭雷击,否,0.996897,recheck_with_site_evidence
小号铁钉,14,2,支持曾遭雷击,否,0.99519,recheck_with_site_evidence
小号铁钉,14,3,支持曾遭雷击,否,0.992839,recheck_with_site_evidence
小号铁钉,14,4,支持曾遭雷击,否,0.993755,recheck_with_site_evidence
小号铁钉,14,5,支持曾遭雷击,否,0.994779,recheck_with_site_evidence
小号铁钉,14,6,支持曾遭雷击,否,0.994691,recheck_with_site_evidence
小号铁钉,14,7,支持曾遭雷击,否,0.995123,recheck_with_site_evidence
小号铁钉,14,8,支持曾遭雷击,否,0.994681,recheck_with_site_evidence
小号铁钉,14,9,支持曾遭雷击,否,0.995379,recheck_with_site_evidence
小号铁钉,14,10,支持曾遭雷击,否,0.996767,recheck_with_site_evidence
小号铁钉,14,11,支持曾遭雷击,否,0.998068,recheck_with_site_evidence
小号铁钉,14,12,支持曾遭雷击,否,0.99878,recheck_with_site_evidence
小号铁钉,14,13,支持曾遭雷击,否,0.997812,recheck_with_site_evidence
小号铁钉,14,14,支持曾遭雷击,否,0.997751,recheck_with_site_evidence
小号铁钉,14,15,支持曾遭雷击,否,0.998035,recheck_with_site_evidence
小号铁钉,14,22,支持曾遭雷击,否,0.990652,recheck_with_site_evidence
小号铁钉,14,30,支持曾遭雷击,否,0.993625,recheck_with_site_evidence
小号铁钉,14,37,支持曾遭雷击,否,0.99262,recheck_with_site_evidence
小号铁钉,14,44,灰区/证据不足,是,0.994999,delay_too_long_add_other_evidence
小号铁钉,14,51,灰区/证据不足,是,0.998812,delay_too_long_add_other_evidence
小号铁钉,14,58,灰区/证据不足,是,0.991487,delay_too_long_add_other_evidence
小号铁钉,14,90,灰区/证据不足,是,0.995396,delay_too_long_add_other_evidence
小号铁钉,15,1,支持曾遭雷击,否,0.994983,recheck_with_site_evidence
小号铁钉,15,2,支持曾遭雷击,否,0.992479,recheck_with_site_evidence
小号铁钉,15,3,支持曾遭雷击,否,0.989142,recheck_with_site_evidence
小号铁钉,15,4,支持曾遭雷击,否,0.990425,recheck_with_site_evidence
小号铁钉,15,5,支持曾遭雷击,否,0.991879,recheck_with_site_evidence
小号铁钉,15,6,支持曾遭雷击,否,0.991758,recheck_with_site_evidence
小号铁钉,15,7,支持曾遭雷击,否,0.992381,recheck_with_site_evidence
小号铁钉,15,8,支持曾遭雷击,否,0.991745,recheck_with_site_evidence
小号铁钉,15,9,支持曾遭雷击,否,0.992746,recheck_with_site_evidence
小号铁钉,15,10,支持曾遭雷击,否,0.994793,recheck_with_site_evidence
小号铁钉,15,11,支持曾遭雷击,否,0.996763,recheck_with_site_evidence
小号铁钉,15,12,支持曾遭雷击,否,0.997883,recheck_with_site_evidence
小号铁钉,15,13,支持曾遭雷击,否,0.996369,recheck_with_site_evidence
小号铁钉,15,14,支持曾遭雷击,否,0.99627,recheck_with_site_evidence
小号铁钉,15,15,支持曾遭雷击,否,0.996716,recheck_with_site_evidence
小号铁钉,15,22,支持曾遭雷击,否,0.986112,recheck_with_site_evidence
小号铁钉,15,30,支持曾遭雷击,否,0.990268,recheck_with_site_evidence
小号铁钉,15,37,支持曾遭雷击,否,0.988841,recheck_with_site_evidence
小号铁钉,15,44,灰区/证据不足,是,0.992169,delay_too_long_add_other_evidence
小号铁钉,15,51,灰区/证据不足,是,0.997972,delay_too_long_add_other_evidence
小号铁钉,15,58,灰区/证据不足,是,0.987422,delay_too_long_add_other_evidence
小号铁钉,15,90,灰区/证据不足,是,0.995396,delay_too_long_add_other_evidence
小号铁钉,16,1,支持曾遭雷击,否,0.995104,recheck_with_site_evidence
小号铁钉,16,2,支持曾遭雷击,否,0.992649,recheck_with_site_evidence
小号铁钉,16,3,支持曾遭雷击,否,0.98937,recheck_with_site_evidence
小号铁钉,16,4,支持曾遭雷击,否,0.990633,recheck_with_site_evidence
小号铁钉,16,5,支持曾遭雷击,否,0.992065,recheck_with_site_evidence
小号铁钉,16,6,支持曾遭雷击,否,0.991939,recheck_with_site_evidence
小号铁钉,16,7,支持曾遭雷击,否,0.992543,recheck_with_site_evidence
小号铁钉,16,8,支持曾遭雷击,否,0.991928,recheck_with_site_evidence
小号铁钉,16,9,支持曾遭雷击,否,0.992911,recheck_with_site_evidence
小号铁钉,16,10,支持曾遭雷击,否,0.994912,recheck_with_site_evidence
小号铁钉,16,11,支持曾遭雷击,否,0.996843,recheck_with_site_evidence
小号铁钉,16,12,支持曾遭雷击,否,0.997942,recheck_with_site_evidence
小号铁钉,16,13,支持曾遭雷击,否,0.99646,recheck_with_site_evidence
小号铁钉,16,14,支持曾遭雷击,否,0.996369,recheck_with_site_evidence
小号铁钉,16,15,支持曾遭雷击,否,0.996797,recheck_with_site_evidence
小号铁钉,16,22,支持曾遭雷击,否,0.98639,recheck_with_site_evidence
小号铁钉,16,30,支持曾遭雷击,否,0.990434,recheck_with_site_evidence
小号铁钉,16,37,支持曾遭雷击,否,0.989035,recheck_with_site_evidence
小号铁钉,16,44,灰区/证据不足,是,0.99241,delay_too_long_add_other_evidence
